hour,day_of_week,temperature,humidity,occupancy,building_type,is_holiday,previous_usage,energy_usage
6,0,26.658143530205155,71.48758446025475,173,Admin,1,15.293714271500221,57.77126008144955
19,1,29.78314808050801,46.76879833959822,259,Lab,1,26.28754665205076,114.51592506239798
14,5,35.13504451349531,54.61375444375632,223,Hostel,0,17.990234625142143,103.14560895640665
10,6,29.857005429661175,76.61487240247043,222,Lab,0,27.056590210063444,93.26746556510774
7,1,28.847140419544743,92.86490451339505,266,Hostel,0,11.801840092031846,74.73481860196601
20,3,27.763648103852848,41.940419094720845,154,Admin,0,10.935566667588624,55.38661849002614
6,4,22.263467581254943,57.099363845567886,263,Admin,0,14.664322716918567,62.67374640093092
18,2,26.92376070952304,32.380706285827685,148,Hostel,0,10.280658376120936,84.30284604709883
22,2,37.86949289221292,54.78248606782269,224,Lab,0,28.378640058400755,121.4118991971782
10,3,26.12390384933051,50.648433245271114,126,Academic,0,18.902694745500803,64.75150086757407
10,1,27.219931702883724,73.76549452683633,4,Academic,1,16.130842083071666,32.63724350306333
23,2,34.28542446052673,37.40641546387415,287,Lab,0,26.62176869540597,149.87106259833416
20,1,20.29355669549021,35.35025445766085,57,Admin,1,9.8994290504506,52.4224254925542
3,5,31.10062025478468,77.81402092878582,71,Hostel,0,12.285125989790188,49.95541180526216
7,3,20.05560040097475,45.503016854044,154,Hostel,0,12.122791401757384,75.24636063611976
23,6,29.9959435844073,57.96146712352354,281,Lab,0,26.344679592103205,130.89954943206445
2,1,27.887952758008993,59.42566850872974,167,Lab,0,24.830100573427156,85.93430774303624
21,5,31.062000803990067,43.1902656665261,28,Library,0,17.172846133824308,49.432772595656225
20,1,22.937628149228047,43.20623573221939,81,Hostel,0,17.037261356719867,57.05381276524418
1,1,25.32483457654215,71.90364527054828,262,Library,0,17.6250640095021,83.9651813218994
23,2,31.320264766527913,65.15608133267995,105,Admin,0,17.415924169398693,85.65132823636982
11,0,25.450837417490995,54.76468810362307,276,Hostel,0,20.15404565076191,98.86297546175038
5,4,31.777576302642515,52.94812262763634,9,Lab,0,25.129231218566485,75.35377874321344
1,1,29.04584905344376,59.7491632727844,61,Lab,1,22.542137376315694,57.91501487233632
20,1,25.771241210349196,60.73298817880183,223,Admin,1,11.132603201931591,79.11337661915611
0,1,26.423229109846623,73.91718283326105,135,Academic,0,20.35506220240759,68.32713594207151
11,0,28.017524158343093,54.687158326582846,223,Library,0,22.67731351724605,88.99917935077752
21,5,26.89908942979299,61.64471122300245,113,Lab,0,24.875592494423366,83.78331070841676
11,6,31.651248768664747,65.77268192768021,259,Hostel,0,14.833791111399933,101.12908752331681
16,6,26.14360335237958,66.03662785057556,156,Hostel,0,11.95651634910028,83.60144778433995
9,3,25.134845368938894,76.74579378041842,228,Hostel,0,12.959977128079874,87.74565677782304
15,2,32.55125840766431,54.811168320281396,99,Admin,0,8.356841545743121,43.17493308975679
14,0,25.889354179636044,46.51199152037776,254,Academic,0,15.611802792100912,87.64068139843883
14,5,25.298141898674956,49.63055465156224,178,Library,0,20.082791998431375,79.49048368918177
18,1,15.57168099214465,64.61240026142457,274,Hostel,1,17.19859104314799,117.73568867645375
11,5,22.80248315698035,53.37847986904696,228,Hostel,0,12.891193903817667,92.47093676033637
22,0,23.806862606683943,89.30196433740775,30,Lab,0,29.190147670724066,93.99958410294678
19,0,25.299347037460127,55.188833998678305,107,Academic,0,16.079281086531036,61.0380971713128
2,0,24.389303916855685,40.67570033777466,281,Lab,1,25.479910368266456,99.06969798488058
4,3,32.91525074339476,59.84052500969469,108,Admin,0,12.522787537830306,63.976582138081184
18,4,24.12426177774459,78.0821831913405,28,Admin,0,15.798162702351298,48.74061687730066
6,2,24.496868148807117,42.76360285413044,16,Library,1,16.592622203077088,45.630212017059236
20,3,28.77827098549866,42.3306780234844,169,Admin,0,13.63425268295871,81.24261002388474
8,3,22.491590600356595,52.197769443024015,174,Library,0,14.59011769530128,68.70130626331142
6,4,35.81996077423388,45.3113416175122,73,Lab,0,26.791874071842802,88.10604206179208
17,3,32.01078395581406,34.7467285463187,239,Hostel,0,17.79308023896629,81.46353280713079
3,0,22.159565239460758,31.887687426405353,95,Hostel,0,9.150470642693936,45.15630899336917
13,0,33.068335429334184,58.486429057003946,1,Academic,0,23.408223891786555,64.36638089930453
17,5,34.108540697599764,65.72564660521851,201,Admin,0,11.370086971949426,99.58292105723716
8,1,22.28942631540693,44.482536667545844,36,Academic,0,15.782140373457135,47.3564361405795
20,3,22.174166921205877,53.942219605025244,90,Academic,1,19.19860611733785,81.41866898612852
1,1,24.94793427050933,57.774428906282424,232,Hostel,0,17.8702434711309,98.88478958994705
19,2,20.92397440127546,38.42148897430636,146,Admin,1,10.552995049593434,88.01684897723314
14,6,24.098557327886137,67.88291045521994,296,Hostel,1,14.898019146916306,105.80223389822025
6,0,25.999377076406283,58.17850503126353,252,Academic,0,15.160442054153648,110.27912189064872
11,5,30.520761806882405,62.86714764476102,211,Admin,0,6.523001199865234,81.02809636889225
7,2,28.406127515751248,65.19952997196748,63,Hostel,0,10.769782940950002,31.955089030861604
14,5,27.259892467326527,91.38644497082377,4,Library,0,19.03842402901146,53.961601047657545
2,6,25.584133525375435,39.631029302563334,145,Library,0,15.847506046645679,56.24408645980502
13,6,21.460221250183118,41.608476357073116,71,Lab,0,29.29908863564139,95.55011392551447
16,4,30.958588633909937,80.24387296839807,104,Lab,0,29.474340975612982,97.0092501987248
3,0,30.84687078411856,64.78342122414503,35,Admin,0,9.725545365753746,25.62517359763025
17,2,24.915757045041424,56.03540835236178,146,Lab,0,30.701003049028206,110.65748559023237
7,4,22.494224294377887,47.82870204703911,255,Admin,0,10.36686123195544,94.79692639251928
3,6,35.78052218763542,51.52170391874483,227,Academic,0,23.00108665302645,93.25622037426328
1,2,29.23365225543466,51.81279047219517,278,Library,0,18.878474507156376,93.8986856199623
5,5,29.98484145662521,32.57532641856035,112,Admin,0,12.195103546241977,57.462320142764426
21,4,30.200739303498793,69.59798045352734,10,Academic,0,20.199988129207988,40.7132068585531
9,4,21.987581507093534,24.840140120786845,193,Library,0,16.96138208190579,84.71955729248134
3,0,35.49638292008433,42.26408055810637,223,Hostel,0,14.346312093318662,99.40790769564717
21,1,25.982510335278846,48.52338508100525,249,Academic,0,18.829588914516435,94.68453954532782
17,5,32.11021001964471,87.15226581778919,248,Hostel,0,12.572296860510013,113.73732655955632
11,5,35.292163517133886,53.488042470225466,268,Lab,0,24.853577576674823,127.26506643731852
1,4,28.406880160091,59.74693748213929,290,Admin,0,15.654649233646103,95.70850302748597
9,4,22.092607956324418,41.83765733897593,82,Library,0,11.234979861146211,54.91237564573036
3,0,15.53264743257132,68.03093519272298,28,Lab,0,24.509474735504515,76.30398573884918
13,1,27.80792095349031,99.27821842743661,79,Academic,0,19.02217759750038,70.52164597879344
15,5,29.25072223866277,62.37251619408324,94,Lab,0,25.315705292431815,88.21173963049425
14,6,25.096124331571904,49.967431752838614,258,Hostel,0,14.890325056753674,88.1062973339375
7,3,28.678427267284587,24.523907687867283,121,Hostel,0,9.955251625326554,52.49003210047978
13,3,30.151724190855287,65.40538352886401,123,Admin,0,15.075948189053284,76.30797882573431
22,1,32.969638953973174,40.21080290554132,22,Lab,0,28.660861425063572,75.49975309695726
7,2,26.857173044368952,43.66335995556957,215,Library,0,18.023001832829568,80.92361303066818
20,0,27.773291632699685,68.97566125615663,288,Hostel,0,13.377324234227725,114.40540525080513
15,1,27.10699835283223,47.89555488220825,91,Academic,0,17.784943986026335,70.12410543661535
12,3,28.167973166634248,53.58786213688881,23,Lab,0,25.024395223391128,62.144640040076126
17,4,25.43407809538068,66.24679516162738,106,Library,0,16.182595327955116,85.75682568765443
14,3,25.41017307752758,44.40904204025213,51,Library,0,17.99855729845025,77.39795843268809
20,4,25.72488580363849,35.665636982561196,198,Library,0,15.75606638392614,94.66413116804732
23,0,28.781331208097484,61.96455378223936,293,Library,0,17.081357840209375,98.60632507052146
12,4,23.763429860744317,66.31525499531544,299,Hostel,0,12.698273717262897,102.67831715123131
8,1,25.74503033436795,46.336527303567465,55,Admin,0,12.858977568435066,52.531832577235775
14,4,37.04294983560704,45.59303508207746,193,Lab,0,25.25240019275506,88.30115913096989
12,2,32.48199670252191,38.49856988547904,44,Hostel,0,14.80385464360623,62.52093700494742
0,1,23.214594613666918,65.70236432559268,238,Admin,0,6.699175894039125,73.2749778830727
6,0,32.32336465296784,83.78347126830008,231,Library,0,17.46131312008354,104.6930709262985
8,1,31.136960370418425,68.97317628779878,238,Academic,0,21.620009338826588,97.21306925617104
23,2,27.480402442605808,53.63219585699033,135,Library,1,17.586887410827483,83.3298782944705
0,0,24.460135264967988,65.74683068974055,284,Admin,0,9.037672467497977,89.58833108691927
11,3,23.89242943757381,42.52288309575772,12,Admin,0,9.869607854828006,36.010306558689265
7,2,29.11920086391618,60.526054375454926,28,Academic,0,17.394234168709815,54.89354993207738
23,0,23.76883168901746,38.720994124044594,177,Hostel,0,14.989941921000987,79.01658257015943
10,6,33.486106648359126,53.16721963346802,292,Academic,0,21.974674748291793,99.89418181395708
18,4,34.904032942275045,71.13540142044789,256,Library,0,13.910311387819863,78.23334472048437
16,1,27.785977512159537,67.18057108062527,107,Lab,0,29.94683819878865,88.20061601690026
7,0,33.693904059610645,63.52712817624037,68,Hostel,0,17.907160298861932,68.32976031590957
2,1,25.94225525848626,61.24415246428347,175,Lab,0,26.41387646381509,84.13947561534933
2,4,24.4282410835794,43.95816558414502,182,Lab,0,27.112657816961548,105.4013276577851
0,0,33.5013759007262,57.137210095901324,241,Hostel,0,8.96134855144334,91.31801486879955
4,3,35.89933477802754,66.74913329668807,193,Library,0,14.412880558975566,84.39121849787222
9,6,37.81578993496108,51.35268326927589,21,Admin,1,8.24292147503673,35.88482791667901
6,6,29.66327535738554,51.931272830943634,10,Library,0,13.270040877459127,49.24425371536629
8,2,32.31055197594812,47.94662000371888,284,Admin,0,13.543556532366228,107.17334385046247
6,0,29.55308614233074,50.72576360955131,258,Admin,0,14.268172211004025,87.68969011294293
8,4,35.01689328349295,43.40014981837442,172,Hostel,0,16.393573593865995,78.68357004932801
7,0,30.166420667196295,55.361075794842144,204,Hostel,0,14.725074401786168,72.83868387486638
11,1,32.02541894331017,50.19586507253092,247,Academic,0,21.57012358376728,104.74440393198041
1,5,22.322907723985672,32.88631519227301,258,Lab,0,21.23259959743139,78.26482984972473
0,0,26.844186123161638,94.01413490810766,269,Lab,0,22.131403773567154,106.5264126356449
15,6,32.06818074321118,39.438577672858635,80,Lab,0,25.372347963869068,71.59057312218798
22,6,31.61986372034684,52.97959199274016,187,Lab,0,27.792458736033662,108.99177552608721
22,6,32.49451604934555,55.917518539262424,230,Academic,0,18.658208584245408,92.37537010556872
23,3,28.603273235954433,46.97698574356979,27,Admin,0,7.9176495800395825,22.924374845813723
4,0,24.7398899843236,53.65423256811618,2,Academic,0,17.924711930032608,35.53555302664162
2,2,27.70526733240523,42.721828153122914,236,Hostel,0,11.199544665014809,72.82635238199481
11,0,28.235171820042517,65.90768973705337,180,Library,0,10.826533995051276,83.45341865934486
7,5,29.208704042662877,54.66642169247359,3,Admin,0,18.673177893441594,39.92828733594343
21,6,23.160672865574565,65.77589887521019,71,Admin,0,15.698614627693765,53.2984669268879
2,1,26.67066707156351,77.04843507539385,181,Academic,0,14.0730225807886,62.09665423108606
0,6,27.556661952529357,50.781568840418466,103,Hostel,0,8.233845789663238,57.72141796734315
2,0,16.788891706279855,66.60173419955005,271,Hostel,0,11.582032721163072,82.03972506511792
4,3,32.16252390686884,78.04517720829053,286,Admin,0,7.531999146149145,90.6745489574085
14,4,28.820079783203056,53.147984381132964,86,Academic,0,27.147856170968502,63.44474934538871
13,0,29.326594352241095,65.36648875103008,72,Lab,0,23.593040347991735,59.07576574904055
2,0,25.422518444858596,48.02077324373767,90,Admin,0,13.084621019792781,42.03700711962756
0,2,30.931251877651263,72.95818052655817,172,Lab,1,24.482611978906313,108.93134813144943
4,3,23.840370880332813,47.50302588089056,186,Library,1,12.498446751988384,58.936008539719154
22,5,24.625928778844315,65.54595094316116,235,Hostel,0,17.142041560827188,91.39426667454538
13,4,31.141650228708983,69.92676846379953,161,Admin,0,13.964491724732635,76.11103508437982
6,6,29.78580868072025,37.315343496842985,72,Library,1,15.821294898453942,47.547644047054014
8,1,21.61199867415853,44.99935162387601,224,Lab,0,33.14580419329398,119.28688005782095
14,0,35.88685435044018,44.3922919141007,229,Admin,0,12.705165296725923,78.75225195182628
14,5,24.207511732134265,71.19899324501293,253,Library,0,14.630593746085456,82.91792620320565
9,4,27.337032226893303,37.36978545772838,161,Admin,1,17.745819231851016,102.43508083430905
12,1,36.73393693300976,59.88533846367198,249,Library,0,17.21162747609711,89.25855097119992
18,5,17.701092153949556,65.89716572875967,198,Library,0,20.883758906343843,99.77730257196274
6,3,19.4686959001518,57.54083474748124,239,Lab,0,25.882734236222504,96.7964178576549
16,3,30.209668435442588,74.12099511487106,236,Hostel,0,4.956676683638387,63.7005447359885
19,4,15.607316420730903,26.13109182052047,75,Academic,0,15.323738192196174,53.87832178873994
3,6,17.782532487574393,64.11873322859297,294,Library,0,19.24813160059462,87.5097827757662
4,1,33.875789131470704,52.27370239711316,44,Hostel,0,12.232811132543297,40.607869962984644
22,3,25.95563315797955,32.42308183235414,178,Academic,0,20.759975352807878,80.81050588454052
6,4,38.98044779648408,38.783532280942154,221,Lab,0,29.401542196072242,124.39331306562676
12,3,22.82615110973217,78.47652160912888,16,Admin,0,12.538454255231368,27.283790486384127
14,3,26.407591005647596,64.4833205272825,218,Hostel,0,11.421797629220531,88.86216822236909
10,5,30.703153630892928,67.028618756922,83,Admin,0,11.966739879432978,58.3149788740947
3,5,30.357642420876196,69.38446664920447,190,Admin,0,12.320795708664745,71.73609011192814
12,3,26.725501922555775,34.647637741701445,131,Academic,1,18.775533296195462,64.26415927546752
6,2,24.75769994528791,58.685925877295446,286,Hostel,0,9.84506558973364,89.98626946533761
18,5,29.156811621706453,71.47627965806534,93,Library,0,14.933553068995668,68.14786825206295
21,1,34.884429430879244,48.96096179465552,94,Academic,0,19.721557851421395,78.1812403703708
1,4,31.814043447866474,75.43669635812739,183,Hostel,0,9.670455139811729,66.00222190632661
9,4,24.837657918449324,45.81090189601325,131,Library,0,13.245726283013743,51.150747756063055
12,6,23.041136769603302,56.87141787008155,81,Admin,0,9.849447861409168,58.358296837350586
20,1,24.53605506145021,60.96301043045585,295,Lab,0,20.41891445404435,118.05106270328712
5,1,21.63128557317092,66.31897635897991,111,Lab,0,26.384707013944396,76.26952520556905
11,1,28.737047411636222,50.683953088996134,50,Academic,0,20.71087040500661,50.23983072104692
11,6,32.06893089367142,70.1816817807462,293,Library,0,14.367022070492004,111.51405476934687
19,1,27.643300007497984,61.42021713648849,188,Library,1,11.894153946756099,93.21982405251032
10,0,36.598833964647575,30.41809574380252,207,Lab,1,27.220959636636707,112.00628562968399
22,6,36.87707287577345,82.54858951043356,148,Library,0,17.63823926104165,92.79983021399848
6,4,29.538676344142107,40.632019068569804,264,Hostel,0,14.295747011393802,101.89226451816411
0,0,31.509688702383418,83.78500832954023,280,Hostel,0,14.124684851726297,91.39985178724127
0,6,23.49771011015276,52.63471838211682,112,Lab,0,27.781830482864947,102.72654086787753
19,3,26.19596753080411,49.84137261728523,35,Admin,0,11.713593998061222,36.317624589666764
12,3,34.36135188883274,60.98857264377235,110,Admin,0,9.24672587341,55.84370940250506
8,4,25.103636913557793,44.52080119282952,170,Admin,0,11.789147979994683,59.951318599159585
2,3,35.43689903508226,26.71127090514278,77,Lab,0,24.82384416859235,72.57384556852797
6,1,33.562820510374166,53.360369551288436,27,Academic,0,19.789053812861507,70.79758733368634
5,6,31.758119805231786,60.625792155176505,44,Library,1,18.652798924647282,52.48516211260226
7,0,22.1365255517018,78.06654930830669,141,Hostel,0,10.39376465436375,65.95410681044243
8,1,26.440067579648392,37.12959473625549,14,Hostel,0,14.532423425055661,11.162186094954748
4,3,31.22104419422064,63.70334874478585,127,Academic,0,16.242243654373112,71.7769192586916
0,5,23.071259627489848,53.44149801444776,166,Library,1,13.245457968422627,75.31842665671347
18,0,27.04961376391701,55.49562608697179,152,Admin,0,16.72151290396138,79.37613036968811
9,1,31.76065474563819,69.58067330653809,62,Hostel,0,15.371919362821732,45.78114737109212
11,6,25.15913886038852,47.32865742019506,58,Admin,0,12.482823591428426,36.1001927482212
23,4,23.76772754365676,57.51288962743373,202,Admin,1,7.02458437079584,69.77310254949423
14,1,18.996127706059106,71.34906682302707,156,Lab,1,25.292779196823865,81.8845258490105
21,5,26.066829011428457,70.44400579284817,2,Lab,0,19.781627302646772,76.19684775061465
23,3,31.865907564050687,36.69572223790574,38,Library,0,16.111758166677934,61.17198693270624
8,0,23.63548162336751,45.805929958982716,277,Hostel,0,10.259108903251114,100.90672053297111
19,4,28.08936053233853,52.84410457287936,100,Lab,0,27.673531230678144,86.83050397946164
16,0,26.878953641029664,67.20907861785736,168,Library,0,16.483911746655817,73.46533528454196
16,4,24.666882220159764,51.231957807109616,19,Academic,0,16.351721888310752,41.821557585374535
19,6,32.188527996879436,56.24106883382318,140,Admin,0,13.144779529363419,67.8757974430857
11,0,36.21136140582948,73.75463783346272,274,Hostel,0,20.28016479271696,104.01564893843519
